iteration,latency_ns
1,674610084
2,642636319
3,663811208
4,638948625
5,669045334
6,654345834
7,657310917
8,646020458
9,747646625
10,717297834
11,644112250
12,668605167
13,641265251
14,637893000
15,638752500
16,653411626
17,643276542
18,646872042
19,640503626
20,653724417
21,686341376
22,648116250
23,654961584
24,631157792
25,654484667
26,643956667
27,754157917
28,719083542
29,653519667
30,645096583
31,657171458
32,655389875
33,647161000
34,640202500
35,658309292
36,642276500
37,656291667
38,639716959
39,659971125
40,646131000
41,682819917
42,636206875
43,642426876
44,655239292
45,724722917
46,714918917
47,716467903
48,715757542
49,715443375
50,716412334
51,718132834
52,654257834
53,646126875
54,740873459
55,716159126
56,715075834
57,714987167
58,716546542
59,648264583
60,682257625
61,714162042
62,640524459
63,645468292
64,643933958
65,729029292
66,651029625
67,650746959
68,657274709
69,701689751
70,715548000
71,646943750
72,645509917
73,651871792
74,710813334
75,716169958
76,720155709
77,646662625
78,636113584
79,760972333
80,714947376
81,715559875
82,643411292
83,686152251
84,655651501
85,672452375
86,716214583
87,636595001
88,648014458
89,654367751
90,661963459
91,649112694
92,733926084
93,718157375
94,633386833
95,652174292
96,641307334
97,729040667
98,716381167
99,716188167
100,715534000
101,714165875
102,650810500
103,680315292
104,714501459
105,646704917
106,649319458
107,748036583
108,717175750
109,715805001
110,715437917
111,716403501
112,715457292
113,715637001
114,716748292
115,715219417
116,716080292
117,715319875
118,657956375
119,671190334
120,714483500
121,717399834
122,651190709
123,646064542
124,748496625
125,715609125
126,713800459
127,634529834
128,696823709
129,716496958
130,715747000
131,715247876
132,715541750
133,645689334
134,646501694
135,651552542
136,715881042
137,715929667
138,647266250
139,681226251
140,716369875
141,715693375
142,716279126
143,713255667
144,718761000
145,715652834
146,715903125
147,716434125
148,715389959
149,657900375
150,671033125
151,646289000
152,634810001
153,662558417
154,714949917
155,644088250
156,685965376
157,715401459
158,715607959
159,648794834
160,681248250
161,715415042
162,714721333
163,717494875
164,644658000
165,683920250
166,648840583
167,654622751
168,742093083
169,716075709
170,655651501
171,673922625
172,715282542
173,634962916
174,695712625
175,644048333
176,639806084
177,658903750
178,652409319
179,676345500
180,717496542
181,714443417
182,654564417
183,675548667
184,715394084
185,668840125
186,659238250
187,716287500
188,657795667
189,638733209
190,648756958
191,710219917
192,719732375
193,643726875
194,686027126
195,714940583
196,713795042
197,716713084
198,717345376
199,715882333
200,714753959
201,716226875
202,715773417
203,716262209
204,646551667
205,682860792
206,715216542
207,716366250
208,714717542
209,717493292
210,654567834
211,676317834
212,669607917
213,649244208
214,642527000
215,691940584
216,719707375
217,717398375
218,714936459
219,715799125
220,716415500
221,704215486
222,651533375
223,677632709
224,716177000
225,714726167
226,716301334
227,716312750
228,715652876
229,645243250
230,685589750
231,714723042
232,715964125
233,716643417
234,715429501
235,715638625
236,715874583
237,716213792
238,715228750
239,716490667
240,715597667
241,648037625
242,679900042
243,717129542
244,716197584
245,719093292
246,714006459
247,716529208
248,662171417
249,663775917
250,717033417
251,716181292
252,716817209
253,715042042
254,716817251
255,715758583
256,647827292
257,632180375
258,652751209
259,723527250
260,717827042
261,716400792
262,654118292
263,660916042
264,725575194
265,715946917
266,686349542
267,648498167
268,653544042
269,670467542
270,715538625
271,716441959
272,714850084
273,716814750
274,652925876
275,676175000
276,716665833
277,713089292
278,646172084
279,685215333
280,643743167
281,685856125
282,715507708
283,717335459
284,714760917
285,715913751
286,645679917
287,682959334
288,714934542
289,642405209
290,642520751
291,762062042
292,716189833
293,715498375
294,661434417
295,667764833
296,633147583
297,696008958
298,716641542
299,651341667
300,647611875
301,746756625
302,645900875
303,635601751
304,650295791
305,726618209
306,644177292
307,685319959
308,715925320
309,653483875
310,674865583
311,645186917
312,660654500
313,737455417
314,717368001
315,715791292
316,715037334
317,716660459
318,716256667
319,715940167
320,638071792
321,690648083
322,643677542
323,644693292
324,649824167
325,681412375
326,646204875
327,722729626
328,717542376
329,672899709
330,757977292
331,715107917
332,647144084
333,683180875
334,714979375
335,716764583
336,715964459
337,715725709
338,717282042
339,644804125
340,683678417
341,716434584
342,654944251
343,673352333
344,646884126
345,683356083
346,715455376
347,642765459
348,644553667
349,757336375
350,717129542
351,649549569
352,678568876
353,716887583
354,714917708
355,715941625
356,714162917
357,654836626
358,676614917
359,649187292
360,645253625
361,656221167
362,652789708
363,668786333
364,648708208
365,680854334
366,715457750
367,715575917
368,717907834
369,635594292
370,692635958
371,715672042
372,715309792
373,648948958
374,679086208
375,715729292
376,717335875
377,716574750
378,715171209
379,717589333
380,648073126
381,679869126
382,715048084
383,715922583
384,715812459
385,649969792
386,679907292
387,715412126
388,652863166
389,659562833
390,646996000
391,699553042
392,654603251
393,644274000
394,645891417
395,713751944
396,638440000
397,654303875
398,659789125
399,705920917
400,716240917
401,718028375
402,648668167
403,638694292
404,756435333
405,650523167
406,678743125
407,816985292
408,715534625
409,640152876
410,689669000
411,716897834
412,658640125
413,645400959
414,740443667
415,654094709
416,675147667
417,715647334
418,716632208
419,642524083
420,653375708
421,749053542
422,716326625
423,716733208
424,714672375
425,715968500
426,716652792
427,715268167
428,715568876
429,714984084
430,719984834
431,649391125
432,677615542
433,715517251
434,715766333
435,714412292
436,718521750
437,715976625
438,714958819
439,715559917
440,638251375
441,649239500
442,654088126
443,716171292
444,717387834
445,715854875
446,716208917
447,715341917
448,715952250
449,633656501
450,695592083
451,713960126
452,632079917
453,640134833
454,652641125
455,652923792
456,640855209
457,669088375
458,660976917
459,667687708
460,671805084
461,759914334
462,645470667
463,641689000
464,641108375
465,646826708
466,696463083
467,716045125
468,715683042
469,716430250
470,714859042
471,715952042
472,716511751
473,715020876
474,715733583
475,650303208
476,653914375
477,655567250
478,644948000
479,656471417
480,648380083
481,692872875
482,652665027
483,649351917
484,644921292
485,711406875
486,666839292
487,765784084
488,636905833
489,691581042
490,717040625
491,714663251
492,663683084
493,666831625
494,715072709
495,715306417
496,716229667
497,647086876
498,682020042
499,652406751
500,676970251
501,715512792
502,716234042
503,715581083
504,716250959
505,706537417
506,724651584
507,716516042
508,633555792
509,669795000
510,642840292
511,710987709
512,656794209
513,673127209
514,651246584
515,654643001
516,739711000
517,716476834
518,647885251
519,680929834
520,717020334
521,714560083
522,716165626
523,715553834
524,717300875
525,715116277
526,716092834
527,646312458
528,646936000
529,645118834
530,719497001
531,650181250
532,679876542
533,716517501
534,715126209
535,715838250
536,716089084
537,644204375
538,668234417
539,650992417
540,653108042
541,647325208
542,723995167
543,716422751
544,647630376
545,683259125
546,714748376
547,640191376
548,689728084
549,715135542
550,715883125
551,715739167
552,658276126
553,647943625
554,738511958
555,715885251
556,716277625
557,716250292
558,715536459
