iteration,latency_ns
1,59294583
2,60497833
3,55420834
4,52203459
5,57133458
6,60043626
7,52591750
8,57338625
9,52146583
10,55152417
11,56663084
12,44014917
13,57513667
14,52806792
15,50293833
16,52452666
17,50958083
18,44438834
19,52278709
20,49980958
21,58058041
22,50269583
23,52213166
24,51957875
25,46016458
26,52017458
27,56985792
28,63701791
29,56144250
30,47871959
31,57018750
32,53722084
33,45281958
34,52878375
35,48022000
36,52794209
37,52784583
38,57568917
39,51072750
40,50797625
41,52655792
42,44567209
43,52758583
44,56291125
45,53420500
46,53127959
47,49819791
48,60699958
49,54431791
50,51249375
51,60608000
52,47668708
53,54528250
54,49642916
55,53411334
56,53313667
57,55741208
58,55032626
59,51869708
60,72399125
61,54597125
62,51396917
63,56552333
64,47731209
65,43006125
66,55729625
67,44621333
68,57289208
69,51555625
70,48489250
71,40376500
72,51273709
73,40939167
74,55458208
75,56554958
76,58262167
77,49849708
78,46388292
79,50457750
80,49740958
81,56352625
82,51956834
83,58122292
84,52373625
85,57549834
86,63168333
87,54570917
88,51764417
89,53671834
90,51611625
91,53145166
92,54202541
93,53915667
94,53319625
95,51790292
96,61898292
97,53036833
98,60012625
99,46220417
100,48447875
101,57089583
102,54188334
103,49046875
104,62237541
105,48758125
106,57213916
107,56312666
108,58578041
109,51613250
110,52407709
111,46726000
112,55997708
113,52977917
114,54341416
115,50073041
116,58825875
117,56853291
118,55469791
119,52268625
120,53489292
121,48350958
122,47258000
123,53121250
124,56235209
125,54217333
126,45655083
127,61184958
128,43290583
129,57664292
130,51927042
131,52470125
132,53497625
133,52986750
134,49076708
135,50196042
136,49162584
137,47773209
138,48982667
139,49474167
140,51734792
141,43891333
142,55816833
143,53822750
144,58944250
145,47020875
146,45606583
147,50117125
148,45039459
149,59560542
150,54509708
151,46687500
152,63754708
153,56946250
154,58132958
155,48129209
156,52188208
157,53824834
158,61301583
159,56048375
160,46928042
161,56461125
162,52411042
163,47516625
164,57847917
165,52656583
166,73135750
167,47506000
168,63764250
169,46133084
170,57423917
171,56398167
172,56711667
173,52385000
174,64130125
175,57003041
176,46668083
177,52464292
178,54825833
179,45025250
180,50302541
181,56577958
182,49984584
183,62150625
184,49535875
185,53141792
186,51984917
187,56722500
188,63692208
189,45896833
190,55819708
191,52975708
192,49904833
193,50175750
194,51596666
195,49293875
196,51728458
197,54883500
198,51773625
199,46899834
200,49715167
201,53872125
202,55161209
203,54021792
204,50660375
205,50777834
206,51045417
207,51377250
208,40358667
209,55917666
210,59630583
211,43580417
212,61146000
213,45997083
214,51397292
215,49524667
216,70937500
217,66757791
218,52146958
219,38988417
220,44020625
221,56794167
222,49003125
223,53823542
224,54228000
225,50021833
226,63263667
227,47779667
228,54164541
229,57442834
230,39233458
231,54281250
232,56001125
233,55103750
234,52308667
235,52087333
236,49171208
237,43286375
